23:40:16.694 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
22:50:54.254 [ApplicationImpl pooled thread 796] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:54:20.271 [ApplicationImpl pooled thread 795] INFO  c.b.l.BrowserStackRunExtension - testng
22:54:20.272 [ApplicationImpl pooled thread 795] INFO  com.browserstack.utils.Helpers - null
22:54:20.272 [ApplicationImpl pooled thread 795] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:59:14.081 [ApplicationImpl pooled thread 809] INFO  c.b.l.BrowserStackRunExtension - testng
22:59:14.082 [ApplicationImpl pooled thread 809] INFO  com.browserstack.utils.Helpers - null
22:59:14.082 [ApplicationImpl pooled thread 809] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:02:52.348 [ApplicationImpl pooled thread 808] INFO  c.b.l.BrowserStackRunExtension - testng
23:02:52.349 [ApplicationImpl pooled thread 808] INFO  com.browserstack.utils.Helpers - null
23:02:52.349 [ApplicationImpl pooled thread 808] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:12:44.482 [ApplicationImpl pooled thread 812] INFO  c.b.l.BrowserStackRunExtension - testng
23:12:44.482 [ApplicationImpl pooled thread 812] INFO  com.browserstack.utils.Helpers - null
23:12:44.483 [ApplicationImpl pooled thread 812] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:13:59.821 [ApplicationImpl pooled thread 818] INFO  c.b.l.BrowserStackRunExtension - testng
23:13:59.822 [ApplicationImpl pooled thread 818] INFO  com.browserstack.utils.Helpers - null
23:13:59.822 [ApplicationImpl pooled thread 818] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:15:30.639 [ApplicationImpl pooled thread 815] INFO  c.b.l.BrowserStackRunExtension - testng
23:15:30.639 [ApplicationImpl pooled thread 815] INFO  com.browserstack.utils.Helpers - null
23:15:30.639 [ApplicationImpl pooled thread 815] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:40:41.768 [ApplicationImpl pooled thread 832] INFO  c.b.l.BrowserStackRunExtension - testng
23:40:41.769 [ApplicationImpl pooled thread 832] INFO  com.browserstack.utils.Helpers - null
23:40:41.769 [ApplicationImpl pooled thread 832] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:56:35.238 [ApplicationImpl pooled thread 865] INFO  c.b.l.BrowserStackRunExtension - testng
22:56:35.238 [ApplicationImpl pooled thread 865] INFO  com.browserstack.utils.Helpers - null
22:56:35.238 [ApplicationImpl pooled thread 865] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:58:19.928 [ApplicationImpl pooled thread 855] INFO  c.b.l.BrowserStackRunExtension - testng
22:58:19.928 [ApplicationImpl pooled thread 855] INFO  com.browserstack.utils.Helpers - null
22:58:19.928 [ApplicationImpl pooled thread 855] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:00:27.425 [ApplicationImpl pooled thread 871] INFO  c.b.l.BrowserStackRunExtension - testng
23:00:27.425 [ApplicationImpl pooled thread 871] INFO  com.browserstack.utils.Helpers - null
23:00:27.425 [ApplicationImpl pooled thread 871] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:01:56.715 [ApplicationImpl pooled thread 872] INFO  c.b.l.BrowserStackRunExtension - testng
